"po_auc","po_kappa","po_sensitivity","po_specificity","pa_auc","pa_kappa","pa_sensitivity","pa_specificity","Aou","sp_area","present_sites"
0.68667719852554,0.266885297103147,0.838862559241706,0.611111111111111,0.815034228541338,0.37940379403794,0.886255924170616,0.666666666666667,3370,10761482.5475951,1414
0.92927374301676,0.642272189349112,0.837988826815642,0.92,0.973743016759777,0.801144199826327,0.916201117318436,0.96,5600,9423837.81973068,1205
0.682464454976303,0.110836569008118,0.111111111111111,0.971563981042654,0.738941548183254,0.136802427139836,0.333333333333333,0.862559241706161,5470,1644224.37991219,100
0.783928571428571,0,0,1,0.869642857142857,0.332361516034986,0.6,0.959821428571429,4960,1339847.24883641,45
0.974093264248705,0.743879706723003,0.917098445595855,0.944444444444444,0.98013816925734,0.835456267555033,0.948186528497409,0.972222222222222,7610,9129446.15360205,1338
0.808612440191388,0.540793457319231,0.844155844155844,0.743421052631579,0.87893028024607,0.520691807733265,0.961038961038961,0.644736842105263,3680,10233775.997761,519
0.953917050691244,0.250966399048468,0.166666666666667,0.995391705069124,0.969278033794163,0.539729331368082,0.833333333333333,0.940092165898618,7130,1106145.891488,88
0.843653250773994,0.512338719779532,0.723684210526316,0.803921568627451,0.842105263157895,0.610184329555955,0.539473684210526,1,6040,4766109.66622621,522
0.863949088407293,0.649056299403129,0.881578947368421,0.810457516339869,0.91124871001032,0.688461062786,0.868421052631579,0.849673202614379,5400,6858957.89614915,619
0.960197663971249,0.796185632549269,0.957142857142857,0.886792452830189,0.986343216531896,0.833753256181407,0.971428571428571,0.905660377358491,5950,3667351.58525167,584
0.959859584859585,0.799756681747329,0.82051282051282,0.982142857142857,0.976190476190476,0.833950311033088,0.923076923076923,0.910714285714286,6110,9500477.28246306,726
1,0,0,1,0.995594713656388,0.797881729920564,1,0.995594713656388,4530,666271.978207752,30
0.827731092436975,0.436498769647969,0.761904761904762,0.79144385026738,0.902470078940667,0.577419895990606,0.785714285714286,0.871657754010695,6290,4446147.90214516,314
0.910553410553411,0,0,1,0.922136422136422,0.307459677419355,0.428571428571429,0.963963963963964,2882,912018.113184759,36
0.964405160057334,0.784402949945081,0.884057971014493,0.912087912087912,0.976827520305781,0.830257870713533,0.891304347826087,0.956043956043956,6190,7027906.24679612,912
0.95048309178744,0.700795818980877,0.777777777777778,0.934782608695652,0.964371980676328,0.751839388581532,0.866666666666667,0.929347826086957,7490,6312010.71821658,212
0.993181818181818,0.885650733124518,0.939393939393939,0.984375,0.995549242424242,0.957442854488013,0.975757575757576,1,4770,7167556.38794045,1059
0.936551724137931,0.627157277759688,0.724137931034483,0.94,0.962068965517241,0.70007582546357,0.96551724137931,0.91,6330,3044609.03176392,206
0.897361178565647,0.828592814371258,0.97887323943662,0.827586206896552,0.954589606605148,0.848331815547645,0.97887323943662,0.850574712643678,4280,6249025.88207119,850
0.771520146520147,0.303868391249925,0.80952380952381,0.774038461538462,0.797161172161172,0.255687973997833,0.80952380952381,0.730769230769231,6410,2052374.91687622,257
0.977765363128492,0.811600164541341,0.96,0.921787709497207,0.986815642458101,0.890389831409881,0.98,0.955307262569832,4570,3702919.70478014,321
0.945984363894812,0.542169566827101,0.75,0.900497512437811,0.967128642501777,0.649408489909534,0.928571428571429,0.900497512437811,5610,2871761.11170693,197
0.860569105691057,0.351274787535411,0.916666666666667,0.751219512195122,0.852845528455285,0.340591058348068,0.958333333333333,0.726829268292683,3730,4808185.96005146,157
0.867364253393665,0,0,1,0.902714932126697,0.261736852710055,0.875,0.85972850678733,3670,3124487.05151428,87
0.973563218390805,0.870800635995281,0.927272727272727,0.959770114942529,0.989028213166144,0.928213166144201,0.945454545454545,0.982758620689655,6590,3458082.72132973,360
0.896113602391629,0,0,1,0.929745889387145,0,0,1,3090,929000.961463107,30
0.95451223967848,0.710809900656676,0.84472049689441,0.926470588235294,0.979996346364633,0.857219203705353,0.937888198757764,0.941176470588235,5290,8511066.04815794,1108
0.9495085995086,0.734500082813449,0.909090909090909,0.908108108108108,0.958599508599509,0.780954405356574,1,0.902702702702703,7150,3667032.59282799,270
1,0.991045243029758,1,0.992481203007519,1,1,1,1,7180,4459429.9580372,710
0.890362811791383,0.542235421783083,0.63265306122449,0.905555555555556,0.884013605442177,0.590660261423305,0.693877551020408,0.905555555555556,7190,5077302.14370054,282
0.895906902086677,0.652287327233794,0.807142857142857,0.865168539325843,0.919422150882825,0.703426082178878,0.842857142857143,0.876404494382023,7270,8612993.3686986,978
0.963840862613869,0.727782796823736,0.772727272727273,0.938650306748466,0.966164714630972,0.824600135165578,0.924242424242424,0.926380368098159,5100,4757853.59088444,435
0.919617224880383,0.439781708694016,0.65,0.909090909090909,0.922727272727273,0.496777029006739,0.95,0.861244019138756,4290,2967653.22445615,148
0.958022233283557,0.824719010595013,0.897959183673469,0.951219512195122,0.981085116973619,0.849638870650033,0.931972789115646,0.926829268292683,5930,7089417.19708597,965
0.949333561175666,0.76677146526148,0.960526315789474,0.779220779220779,0.972573479152427,0.805169549892639,0.875,0.974025974025974,5810,8020370.78765032,1035
0.885105077465869,0.626512421771288,0.75609756097561,0.877358490566038,0.908114741524774,0.659939839317671,0.796747967479675,0.867924528301887,6270,8155418.43233872,928
0.961822011585045,0.655725382109747,0.722222222222222,0.966824644549763,0.953133228014745,0.585263559241255,0.888888888888889,0.919431279620853,7540,2394009.84877129,162
0.868878357030016,0.0977983777520282,0.0555555555555556,1,0.89362822538178,0.314664386489953,0.333333333333333,0.957345971563981,4630,1670176.77960063,77
0.921341463414634,0.263665594855306,0.166666666666667,1,0.909146341463415,0.505812739296902,0.875,0.863414634146341,3570,2787389.03532705,103
0.927787162162162,0.415012772646885,0.297297297297297,1,0.93651463963964,0.601990835835045,0.567567567567568,0.96875,4430,1935349.73124791,167
0.95577849117175,0.780353289105587,0.907142857142857,0.876404494382023,0.973595505617977,0.828559044879625,0.9,0.943820224719101,4230,7234729.74043752,944
0.905357142857143,0,0,1,0.95,0.591071428571427,0.6,0.991071428571429,7120,478014.205037451,33
0.884922848113032,0.665535924617197,0.914110429447853,0.742424242424242,0.94525004647704,0.707111186903138,0.846625766871166,0.924242424242424,7040,8522740.88948646,1030
0.964415584415584,0.856689891109349,0.915584415584416,0.973333333333333,0.975411255411255,0.922287265631628,0.954545454545455,0.986666666666667,5980,7442181.9710415,951
0.817180616740088,0,0,1,0.8215859030837,0,0,1,3350,427353.906683043,26
